Productos,Precio de Costo,Precio de Venta,Precio de venta a extensiones,Precio Límite,,,
"Parche Nylon 12"" IVSOM","$4,200.00","$6,342.00","$5,922.00","$8,942.22",,,
"Parche Nylon 12"" Gope","$9,000.00","$13,590.00","$12,690.00","$19,161.90",,,
"Parche Nylon 13"" IVSOM","$4,500.00","$6,795.00","$6,345.00","$9,580.95",,,
"Parche Nylon 14"" IVSOM ","$5,100.00","$7,701.00","$7,191.00","$10,858.41",,,
"Parche Nylon 14"" Gope","$10,200.00","$15,402.00","$14,382.00","$21,716.82",,,
"Parche Nylon 16"" IVSOM","$7,800.00","$11,778.00","$10,998.00","$16,606.98",,,
"Parche Nylon 16"" Gope","$16,200.00","$24,462.00","$22,842.00","$34,491.42",,,
"Parche Nylon 18"" IVSOM","$15,000.00","$22,650.00","$21,150.00","$31,936.50",,,
"Parche Nylon 18"" Gope","$21,000.00","$31,710.00","$29,610.00","$44,711.10",,,
"Parche Nylon 20"" IVSOM","$15,900.00","$24,009.00","$22,419.00","$33,852.69",,,
"Parche Nylon 22"" IVSOM","$17,400.00","$26,274.00","$24,534.00","$37,046.34",,,
"Parche Nylon 22"" Gope","$28,500.00","$43,035.00","$40,185.00","$60,679.35",,,
"Parche Nylon 24"" IVSOM","$21,150.00","$31,936.50","$29,821.50","$45,030.47",,,
"Parche Nylon 26"" IVSOM","$24,900.00","$37,599.00","$35,109.00","$53,014.59",,,
"Parche Nylon 26"" Gope","$34,500.00","$52,095.00","$48,645.00","$73,453.95",,,
"Parche Nylon 6"" IVSOM","$2,700.00","$4,077.00","$3,807.00","$5,748.57",,,
"Parche Nylon 8"" IVSOM","$3,300.00","$4,983.00","$4,653.00","$7,026.03",,,
"Parche Nylon Contemporánea 6""","$9,000.00","$13,590.00","$12,690.00","$19,161.90",,,
"Parche Tansparente Contemporánea 10""","$12,600.00","$19,026.00","$17,766.00","$26,826.66",,,
"Parche Transparente Contemporánea 6""","$9,000.00","$13,590.00","$12,690.00","$19,161.90",,,
"Rebolo 12""x45cm reto duraluminio 6 tensores IVSOM","$117,000.00","$176,670.00","$164,970.00","$249,104.70",,,
Reco reco 3 resortes IVSOM,"$40,050.00","$60,475.50","$56,470.50","$85,270.46",,,
Reco reco 4 Resortes IVSOM,"$44,100.00","$66,591.00","$62,181.00","$93,893.31",,,
"Repicaixa 12"" Duralumínio 6 cuerdas IVSOM","$94,200.00","$142,242.00","$132,822.00","$200,561.22",,,
"Repique 10"" Duralumínio IVSOM","$52,650.00","$79,501.50","$74,236.50","$112,097.12",,,
"Repique 10"" son doble 6 tensores IVSOM","$69,300.00","$104,643.00","$97,713.00","$147,546.63",,,
"Repique 12"" Duralumínio 6 tensores IVSOM","$73,350.00","$110,758.50","$103,423.50","$156,169.49",,,
"Repique 12"" Duraluminio 8 tensores IVSOM","$75,600.00","$114,156.00","$106,596.00","$160,959.96",,,
"Repique 12"" Duralumínio Charutinho IVSOM","$81,600.00","$123,216.00","$115,056.00","$173,734.56",,,
"Repique 12"" galvanizado IVSOM","$52,350.00","$79,048.50","$73,813.50","$111,458.39",,,
"Repique 12"" son doble vazado IVSOM","$81,900.00","$123,669.00","$115,479.00","$174,373.29",,,
"Repique 12"" Gope","$188,700.00","$284,937.00","$266,067.00","$401,761.17",,,
"Repique 12"" Contemporánea","$218,700.00","$330,237.00","$308,367.00","$465,634.17",,,
"Repique de mano Duralumínio 10"" IVSOM","$66,900.00","$101,019.00","$94,329.00","$142,436.79",,,
"Repique de mano Duraluminio 11"" IVSOM","$67,650.00","$102,151.50","$95,386.50","$144,033.62",,,
"Repique de mano Duralumino 12"" IVSOM","$87,300.00","$131,823.00","$123,093.00","$185,870.43",,,
"Repique MOR 14"" Duraluminio IVSOM","$99,450.00","$150,169.50","$140,224.50","$211,739.00",,,
"Repique MOR 16"" Duralumínio IVSOM","$109,950.00","$166,024.50","$155,029.50","$234,094.55",,,
"Surdo 14"" Duralumínio (cuero/cuero) IVSOM","$132,000.00","$199,320.00","$186,120.00","$281,041.20",,,
"Surdo 14"" Duralumínio (cuero/nylon) IVSOM","$109,200.00","$164,892.00","$153,972.00","$232,497.72",,,
"Surdo 16"" Duralumínio (cuero/cuero) IVSOM","$150,000.00","$226,500.00","$211,500.00","$319,365.00",,,
"Surdo 16"" Duralumínio (cuero/nylon) IVSOM","$131,100.00","$197,961.00","$184,851.00","$279,125.01",,,
"Surdo 18"" Duralumínio (cuero/cuero) IVSOM","$176,100.00","$265,911.00","$248,301.00","$374,934.51",,,
"Surdo 18"" Duralumínio (cuero/nylon) IVSOM","$165,900.00","$250,509.00","$233,919.00","$353,217.69",,,
"Surdo 18""x45 Contemporánea","$389,700.00","$588,447.00","$549,477.00","$829,710.27",,,
"Surdo 18""x45 Gope","$287,700.00","$434,427.00","$405,657.00","$612,542.07",,,
"Surdo 20"" Duralumínio (cuero/cuero) IVSOM","$187,500.00","$283,125.00","$264,375.00","$399,206.25",,,
"Surdo 20""x45 Contemporánea","$407,700.00","$615,627.00","$574,857.00","$868,034.07",,,
"Surdo 22"" Duralumínio (cuero/cuero) IVSOM","$192,600.00","$290,826.00","$271,566.00","$410,064.66",,,
"Surdo 22"" Duralumínio (cuero/nylon) IVSOM","$188,100.00","$284,031.00","$265,221.00","$400,483.71",,,
"Surdo 22""x45 Contemporánea","$419,700.00","$633,747.00","$591,777.00","$893,583.27",,,
"Surdo 22""x60 Gope","$449,700.00","$679,047.00","$634,077.00","$957,456.27",,,
"Surdo 24"" Duralumínio (cuero/cuero) IVSOM","$205,800.00","$310,758.00","$290,178.00","$438,168.78",,,
"Surdo 24"" Duralumínio (cuero/nylon) IVSOM","$198,600.00","$299,886.00","$280,026.00","$422,839.26",,,
"Surdo 24""x50 Contemporánea","$449,700.00","$679,047.00","$634,077.00","$957,456.27",,,
"Surdo 26"" Duralumínio (cuero/cuero) IVSOM","$219,600.00","$331,596.00","$309,636.00","$467,550.36",,,
"Surdo 26"" Duralumínio (cuero/nylon) IVSOM","$211,200.00","$318,912.00","$297,792.00","$449,665.92",,,
"Surdo 26""x60 Gope","$569,700.00","$860,247.00","$803,277.00","$1,212,948.27",,,
"Surdo 28"" Duralumínio (cuero/cuero) IVSOM","$243,000.00","$366,930.00","$342,630.00","$517,371.30",,,
"Surdo 28""x60 Gope","$599,700.00","$905,547.00","$845,577.00","$1,276,821.27",,,
Tamborim Acero Inox  6 tensores IVSOM,"$48,900.00","$73,839.00","$68,949.00","$104,112.99",,,
Tamborim Alto Contemporánea,"$74,700.00","$112,797.00","$105,327.00","$159,043.77",,,
Tamborim Alto Rendençao,"$80,700.00","$121,857.00","$113,787.00","$171,818.37",,,
Tamborim Alto Gope,"$56,700.00","$85,617.00","$79,947.00","$120,719.97",,,
Tamborim Frisado Gope,"$53,700.00","$81,087.00","$75,717.00","$114,332.67",,,
Tamborim Frisado Contemporánea,"$71,700.00","$108,267.00","$101,097.00","$152,656.47",,,
Tamborim Frisado Redençao,"$74,700.00","$112,797.00","$105,327.00","$159,043.77",,,
